level,dataset,model,nll,multiclass_brier,ece,ece_bins
equal_dataset_macro,ALL_DATASETS,cardinal_fbc,0.6365014471026738,0.37610045270268083,0.1418917440679297,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_extended,0.6381213168562943,0.3768777169448202,0.1430278579607896,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_corr,0.6358031158403169,0.3775921719199335,0.1426869981818324,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_corr_extended,0.6258031741116493,0.37335333085104017,0.14048942047548807,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_compactdyn,0.6600094093312232,0.3801926742997524,0.14720765149743448,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_compactdyn_extended,0.6641170485679566,0.38042922808879837,0.14794019985281598,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_compactdyn_scale010,0.6380376038756375,0.3776376660250166,0.14546805364637447,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_compactdyn_scale010_extended,0.6326332443249167,0.3733432280018227,0.14317439275180752,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_compactdyn_scale025,0.6371585421992628,0.37560223701227546,0.1453884091682508,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_compactdyn_scale025_extended,0.6260984543024102,0.369218564736612,0.14285019820920947,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_micro,0.6418141860472172,0.37772280463961894,0.14362968012725874,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_micro_extended,0.6434095297280067,0.3795456601499259,0.1461121066303821,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_physical,0.6479964674330546,0.38001771523913563,0.1458993748381031,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbc_physical_extended,0.6422530802076766,0.37748804216124004,0.14683346939171854,15
equal_dataset_macro,ALL_DATASETS,eegtcnet,0.6682485547555046,0.4401384357526409,0.07070433649489188,15
equal_dataset_macro,ALL_DATASETS,fbmsnet,0.6232582112540529,0.3692288176652042,0.13391385988893134,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbms,0.6291940627305508,0.37391880142663564,0.13558873071838043,15
equal_dataset_macro,ALL_DATASETS,cardinal_fbms_extended,0.6218224641313357,0.36836662250208835,0.1338835187102369,15
equal_dataset_macro,ALL_DATASETS,cardinal_mix,0.6197587195050404,0.39043405450715196,0.13351859435872782,15
equal_dataset_macro,ALL_DATASETS,cardinal_mix_drop,0.5876652725611582,0.37617571504467834,0.12689469971203268,15
equal_dataset_macro,ALL_DATASETS,ctnet,0.5760736167293949,0.3723329647208128,0.10191734804277315,15
equal_dataset_macro,ALL_DATASETS,ctnet_compact,0.5971330617464816,0.39061530333891836,0.08823969917977899,15
equal_dataset_macro,ALL_DATASETS,eegsym,0.7488679939646093,0.4927350134077205,0.0640581091806056,15
equal_dataset_macro,ALL_DATASETS,eegsym_wide,0.6251253761766303,0.39543583285631884,0.08839952633359967,15
equal_dataset_macro,ALL_DATASETS,tcformer,0.5032086458442918,0.3212443434879037,0.06976190135500773,15
