dataset,model,subject,seeds_averaged,test_trials_per_seed,accuracy,accuracy_defined_count,balanced_accuracy,balanced_accuracy_defined_count,chance_normalized_balanced_accuracy,chance_normalized_balanced_accuracy_defined_count,macro_f1,macro_f1_defined_count,cohen_kappa,cohen_kappa_defined_count,ovr_macro_auroc,ovr_macro_auroc_defined_count,nll,nll_defined_count,multiclass_brier,multiclass_brier_defined_count,ece,ece_defined_count
bnci2014_004,atcnet_aggressive_pool,5,5,320,0.8975,5,0.8975,5,0.7950000000000002,5,0.8966943959540761,5,0.7950000000000002,5,0.97465625,5,0.2507335660799687,5,0.14179693319543735,5,0.030195444226264946,5
bnci2014_004,atcnet_aggressive_pool,6,5,320,0.8262500000000002,5,0.8262499999999999,5,0.6525000000000001,5,0.8246771262971547,5,0.6525000000000001,5,0.92584375,5,0.3948863604139631,5,0.24709261290127488,5,0.07778986018151045,5
bnci2014_004,atcnet_aggressive_pool,7,5,320,0.819375,5,0.819375,5,0.63875,5,0.8181788500049916,5,0.63875,5,0.914890625,5,0.42997539176577904,5,0.2579959679620264,5,0.08014194257557396,5
bnci2014_004,atcnet_aggressive_pool,8,5,320,0.9149999999999998,5,0.9149999999999998,5,0.8299999999999998,5,0.9149481537070321,5,0.8300000000000001,5,0.978890625,5,0.19007362893538943,5,0.11182453613158856,5,0.023742508254945293,5
bnci2014_004,atcnet_aggressive_pool,9,5,320,0.890625,5,0.890625,5,0.78125,5,0.8905559116414388,5,0.78125,5,0.9580859374999999,5,0.26927107207157003,5,0.1651705870555781,5,0.03823305632919072,5
bnci2014_004,fbcnet,1,5,320,0.7056250000000001,5,0.7056250000000001,5,0.4112499999999999,5,0.6889222404797107,5,0.41125,5,0.858296875,5,0.5927321141072401,5,0.39556898635618476,5,0.11630350060760974,5
bnci2014_004,fbcnet,2,5,280,0.5428571428571429,5,0.5428571428571429,5,0.08571428571428572,5,0.48100490214814895,5,0.0857142857142857,5,0.5919591836734694,5,0.9273930333678763,5,0.6094279952314482,5,0.18447117848055702,5
bnci2014_004,fbcnet,3,5,320,0.5325,5,0.5325,5,0.06500000000000003,5,0.460579810978233,5,0.06500000000000003,5,0.57353125,5,0.7779813251702141,5,0.5607925297084941,5,0.1659030618518591,5
bnci2014_004,fbcnet,4,5,320,0.9693750000000001,5,0.9693750000000001,5,0.93875,5,0.9693718679514836,5,0.93875,5,0.9942187499999999,5,0.10017242214100648,5,0.0512017830186518,5,0.02957636792212722,5
bnci2014_004,fbcnet,5,5,320,0.8225,5,0.8225,5,0.6449999999999999,5,0.8159065133844257,5,0.6449999999999999,5,0.968515625,5,0.3885259770241253,5,0.245219114831762,5,0.062327928096055994,5
bnci2014_004,fbcnet,6,5,320,0.8331250000000001,5,0.8331250000000001,5,0.66625,5,0.8296018701084351,5,0.66625,5,0.9486328125,5,0.36725659375978853,5,0.232291054181366,5,0.0665290782228112,5
bnci2014_004,fbcnet,7,5,320,0.78125,5,0.78125,5,0.5625,5,0.7797963994525743,5,0.5625,5,0.8851171875,5,0.4434348046255777,5,0.28606967680012524,5,0.060089610256254665,5
bnci2014_004,fbcnet,8,5,320,0.9137500000000001,5,0.9137500000000001,5,0.8275,5,0.9135736641906809,5,0.8275,5,0.9782968750000001,5,0.21468803812096202,5,0.1305992413565591,5,0.03607840489596129,5
bnci2014_004,fbcnet,9,5,320,0.8125,5,0.8125,5,0.6250000000000001,5,0.8077468986079379,5,0.6250000000000001,5,0.9392890625,5,0.39613164593744987,5,0.25518818653206504,5,0.05106057062745093,5
bnci2014_004,cardinal_fbc,1,5,320,0.7124999999999999,5,0.7124999999999999,5,0.425,5,0.6985301631612952,5,0.425,5,0.8581875,5,0.5715160086203216,5,0.3797620537831669,5,0.10743324317038057,5
bnci2014_004,cardinal_fbc,2,5,280,0.542142857142857,5,0.542142857142857,5,0.0842857142857143,5,0.48950142463587376,5,0.0842857142857143,5,0.590530612244898,5,0.7447981481050039,5,0.5383367292204511,5,0.13783319588218418,5
bnci2014_004,cardinal_fbc,3,5,320,0.531875,5,0.531875,5,0.06375,5,0.4604691379156064,5,0.06374999999999997,5,0.57344140625,5,0.7742013673710474,5,0.5584722989006647,5,0.16089782472699882,5
bnci2014_004,cardinal_fbc,4,5,320,0.9693750000000001,5,0.9693750000000001,5,0.93875,5,0.9693716238013215,5,0.93875,5,0.9942187499999999,5,0.10065567487664602,5,0.05152206832285903,5,0.028953857570886615,5
bnci2014_004,cardinal_fbc,5,5,320,0.85375,5,0.85375,5,0.7075,5,0.84960226572131,5,0.7075,5,0.9693828124999999,5,0.3336500578811508,5,0.20486271747211576,5,0.057923667952418344,5
bnci2014_004,cardinal_fbc,6,5,320,0.8306250000000001,5,0.8306250000000001,5,0.66125,5,0.8265046358442453,5,0.66125,5,0.9483984375000001,5,0.37280899504464493,5,0.2373680318457902,5,0.06410514835268259,5
bnci2014_004,cardinal_fbc,7,5,320,0.775625,5,0.775625,5,0.55125,5,0.7733867679549464,5,0.55125,5,0.8854296875,5,0.4491564317401447,5,0.2910406740830752,5,0.05687892619520427,5
bnci2014_004,cardinal_fbc,8,5,320,0.909375,5,0.909375,5,0.81875,5,0.9089929019022664,5,0.81875,5,0.9782500000000001,5,0.2210202147763502,5,0.13461289538488702,5,0.041529007703065876,5
bnci2014_004,cardinal_fbc,9,5,320,0.82125,5,0.82125,5,0.6425,5,0.8174107462180367,5,0.6425,5,0.939625,5,0.3881301932263592,5,0.24905028016545372,5,0.0450743504613638,5
bnci2014_004,cardinal_fbc_extended,1,5,320,0.721875,5,0.721875,5,0.44375,5,0.7101683173335104,5,0.44375,5,0.8576640624999999,5,0.5637287779225504,5,0.37384956166016653,5,0.1009307673200965,5
