model,comparator,seed,dataset,subjects,balanced_accuracy_difference
cardinal_dynamics_sinc_extended,tcformer,37,EQUAL_DATASET_OVERALL,132,0.00790268809290548
cardinal_dynamics_sinc_extended,tcformer,47,local_exp4,8,0.018750000000000017
cardinal_dynamics_sinc_extended,tcformer,47,bnci2014_001,9,-0.024305555555555556
cardinal_dynamics_sinc_extended,tcformer,47,bnci2014_004,9,0.013492063492063475
cardinal_dynamics_sinc_extended,tcformer,47,cho2017,52,-0.012772435897435892
cardinal_dynamics_sinc_extended,tcformer,47,physionet_mi,54,0.026114317780984435
cardinal_dynamics_sinc_extended,tcformer,47,EQUAL_DATASET_OVERALL,132,0.0042556779640112955
eegnet,tcformer,7,local_exp4,8,-0.04375
eegnet,tcformer,7,bnci2014_001,9,-0.2048611111111111
eegnet,tcformer,7,bnci2014_004,9,0.006150793650793672
eegnet,tcformer,7,cho2017,52,-0.07891025641025642
eegnet,tcformer,7,physionet_mi,54,-0.04183985298115734
eegnet,tcformer,7,EQUAL_DATASET_OVERALL,132,-0.07264208537034625
eegnet,tcformer,17,local_exp4,8,-0.006249999999999992
eegnet,tcformer,17,bnci2014_001,9,-0.20871913580246915
eegnet,tcformer,17,bnci2014_004,9,-0.11666666666666664
eegnet,tcformer,17,cho2017,52,-0.05413461538461539
eegnet,tcformer,17,physionet_mi,54,-0.04720383615311153
eegnet,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.08659485080137254
eegnet,tcformer,27,local_exp4,8,-0.10000000000000002
eegnet,tcformer,27,bnci2014_001,9,-0.3236882716049383
eegnet,tcformer,27,bnci2014_004,9,-0.07807539682539683
eegnet,tcformer,27,cho2017,52,-0.05663461538461539
eegnet,tcformer,27,physionet_mi,54,-0.037913425141686004
eegnet,tcformer,27,EQUAL_DATASET_OVERALL,132,-0.1192623417913273
eegnet,tcformer,37,local_exp4,8,-0.16458333333333336
eegnet,tcformer,37,bnci2014_001,9,-0.16280864197530864
eegnet,tcformer,37,bnci2014_004,9,-0.0789186507936508
eegnet,tcformer,37,cho2017,52,-0.043445512820512816
eegnet,tcformer,37,physionet_mi,54,-0.023178210678210683
eegnet,tcformer,37,EQUAL_DATASET_OVERALL,132,-0.09458686992020326
eegnet,tcformer,47,local_exp4,8,-0.0645833333333333
eegnet,tcformer,47,bnci2014_001,9,-0.3425925925925926
eegnet,tcformer,47,bnci2014_004,9,0.006845238095238102
eegnet,tcformer,47,cho2017,52,-0.07451923076923077
eegnet,tcformer,47,physionet_mi,54,-0.02679203177391584
eegnet,tcformer,47,EQUAL_DATASET_OVERALL,132,-0.10032839007476688
shallow,tcformer,7,local_exp4,8,-0.05000000000000002
shallow,tcformer,7,bnci2014_001,9,-0.030092592592592622
shallow,tcformer,7,bnci2014_004,9,0.0002976190476190589
shallow,tcformer,7,cho2017,52,-0.014198717948717948
shallow,tcformer,7,physionet_mi,54,0.0087510282256659
shallow,tcformer,7,EQUAL_DATASET_OVERALL,132,-0.017048532653605127
shallow,tcformer,17,local_exp4,8,-0.05208333333333333
shallow,tcformer,17,bnci2014_001,9,-0.0775462962962963
shallow,tcformer,17,bnci2014_004,9,-0.011309523809523832
shallow,tcformer,17,cho2017,52,-0.005528846153846162
shallow,tcformer,17,physionet_mi,54,0.014870495848756712
shallow,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.02631950074884858
shallow,tcformer,27,local_exp4,8,-0.056249999999999994
shallow,tcformer,27,bnci2014_001,9,-0.06674382716049385
shallow,tcformer,27,bnci2014_004,9,-0.005902777777777788
shallow,tcformer,27,cho2017,52,-0.012499999999999999
shallow,tcformer,27,physionet_mi,54,-0.0009977274470028008
shallow,tcformer,27,EQUAL_DATASET_OVERALL,132,-0.028478866477054887
shallow,tcformer,37,local_exp4,8,-0.012500000000000025
shallow,tcformer,37,bnci2014_001,9,-0.08526234567901236
shallow,tcformer,37,bnci2014_004,9,-0.008184523809523824
shallow,tcformer,37,cho2017,52,-0.015641025641025645
shallow,tcformer,37,physionet_mi,54,0.022198782162550272
shallow,tcformer,37,EQUAL_DATASET_OVERALL,132,-0.019877822593402317
shallow,tcformer,47,local_exp4,8,-0.006249999999999964
shallow,tcformer,47,bnci2014_001,9,-0.08757716049382716
shallow,tcformer,47,bnci2014_004,9,-0.005456349206349218
shallow,tcformer,47,cho2017,52,-0.01690705128205127
shallow,tcformer,47,physionet_mi,54,0.009389748067284289
shallow,tcformer,47,EQUAL_DATASET_OVERALL,132,-0.021360162582988663
deep4,tcformer,7,local_exp4,8,-0.23125000000000004
deep4,tcformer,7,bnci2014_001,9,-0.38348765432098764
deep4,tcformer,7,bnci2014_004,9,-0.08070436507936506
deep4,tcformer,7,cho2017,52,-0.1325641025641026
deep4,tcformer,7,physionet_mi,54,-0.03332017553032046
deep4,tcformer,7,EQUAL_DATASET_OVERALL,132,-0.17226525949895516
deep4,tcformer,17,local_exp4,8,-0.2958333333333333
deep4,tcformer,17,bnci2014_001,9,-0.4270833333333333
deep4,tcformer,17,bnci2014_004,9,-0.08883928571428573
deep4,tcformer,17,cho2017,52,-0.1315544871794872
deep4,tcformer,17,physionet_mi,54,-0.05416962935078878
deep4,tcformer,17,EQUAL_DATASET_OVERALL,132,-0.19949601378224563
deep4,tcformer,27,local_exp4,8,-0.3104166666666667
deep4,tcformer,27,bnci2014_001,9,-0.3483796296296296
deep4,tcformer,27,bnci2014_004,9,-0.08616071428571427
deep4,tcformer,27,cho2017,52,-0.14277243589743588
deep4,tcformer,27,physionet_mi,54,-0.0602466173118347
deep4,tcformer,27,EQUAL_DATASET_OVERALL,132,-0.18959521275825625
deep4,tcformer,37,local_exp4,8,-0.16666666666666669
deep4,tcformer,37,bnci2014_001,9,-0.45640432098765427
